carries,conquest_epoch
0,704.0
1,1465.0
2,1886.0
3,1894.0
4,2026.0
0,1047.0
1,1057.0
2,2175.0
3,2316.0
4,2369.0
0,884.0
1,1522.0
2,3076.0
3,3214.0
4,3223.0
0,837.0
1,1355.0
2,2249.0
3,2363.0
4,2170.0
0,1201.0
1,2002.0
2,2337.0
3,2349.0
4,2515.0
0,1218.0
1,1784.0
2,1889.0
3,1963.0
4,1917.0
0,1343.0
1,2260.0
2,3029.0
3,3013.0
4,3056.0
0,1424.0
1,1392.0
2,2256.0
3,2439.0
4,2467.0
0,1395.0
1,1375.0
2,2269.0
3,2244.0
4,2116.0
0,813.0
1,1143.0
2,2311.0
3,2566.0
4,2597.0
0,1217.0
1,1858.0
2,2661.0
3,2186.0
4,2198.0
0,1349.0
1,1595.0
2,1834.0
3,2080.0
4,2097.0
0,2436.0
1,2665.0
2,3019.0
3,3118.0
4,3060.0
0,921.0
1,1477.0
2,1915.0
3,2074.0
4,2329.0
0,1064.0
1,1778.0
2,2381.0
3,2273.0
4,2273.0
0,1199.0
1,1439.0
2,2458.0
3,2642.0
4,2721.0
0,1161.0
1,1961.0
2,2902.0
3,3076.0
4,2923.0
0,1242.0
1,1503.0
2,2507.0
3,2611.0
4,2429.0
0,1304.0
1,1931.0
2,2311.0
3,2233.0
4,2522.0
0,1337.0
1,1741.0
2,2346.0
3,2193.0
4,2457.0
0,1293.0
1,1271.0
2,2374.0
3,2491.0
4,2444.0
0,1662.0
1,2102.0
2,2743.0
3,2479.0
4,2757.0
0,666.0
1,1181.0
2,2020.0
3,2098.0
4,2223.0
0,1674.0
1,2006.0
2,2320.0
3,2549.0
4,2641.0
0,1148.0
1,1928.0
2,2201.0
3,2272.0
4,2300.0
0,921.0
1,1370.0
2,2280.0
3,2571.0
4,2441.0
0,848.0
1,1469.0
2,1751.0
3,1908.0
4,2098.0
0,1263.0
1,1458.0
2,2719.0
3,3077.0
4,3105.0
0,1104.0
1,1690.0
2,2643.0
3,2525.0
4,2532.0
0,1189.0
1,1773.0
2,2307.0
3,2177.0
4,2262.0
0,1082.0
1,1438.0
2,2533.0
3,2569.0
4,2619.0
0,1050.0
1,1710.0
2,2173.0
3,2049.0
4,2457.0
0,1944.0
1,1529.0
2,2423.0
3,2084.0
4,2116.0
0,934.0
1,1470.0
2,2661.0
3,2858.0
4,2867.0
0,1100.0
1,1795.0
2,1775.0
3,2026.0
4,2440.0
0,1009.0
1,1471.0
2,2663.0
3,2733.0
4,2928.0
0,972.0
1,1296.0
2,2416.0
3,2342.0
4,2499.0
0,1002.0
1,1698.0
2,2213.0
3,2400.0
4,2399.0
0,1371.0
1,1814.0
2,2271.0
3,2214.0
4,2506.0
0,1034.0
1,1560.0
2,2652.0
3,1974.0
4,2275.0
0,2084.0
1,1945.0
2,2081.0
3,2168.0
4,1762.0
0,948.0
1,1327.0
2,2744.0
3,2821.0
4,2789.0
0,1276.0
1,1652.0
2,2435.0
3,2608.0
4,2417.0
0,1153.0
1,1626.0
2,2171.0
3,2109.0
4,2179.0
0,951.0
1,1492.0
2,2137.0
3,1940.0
4,2098.0
0,1157.0
1,1692.0
2,2211.0
3,2388.0
4,2263.0
0,1693.0
1,1805.0
2,2377.0
3,2058.0
4,2189.0
0,1230.0
1,1757.0
2,1979.0
3,2085.0
4,2113.0
0,1141.0
1,1827.0
2,2547.0
3,2625.0
4,2489.0
0,1564.0
1,1790.0
2,2019.0
3,2103.0
4,2254.0
0,839.0
1,1545.0
2,2169.0
3,2219.0
4,2320.0
0,1151.0
1,1263.0
2,2333.0
3,2430.0
4,2407.0
0,1312.0
1,1606.0
2,2408.0
3,2028.0
4,2360.0
0,1075.0
1,2064.0
2,2554.0
3,2606.0
4,2576.0
0,1103.0
1,1485.0
2,2327.0
3,2493.0
4,2378.0
0,974.0
1,1464.0
2,2337.0
3,2503.0
4,2591.0
0,1386.0
1,1759.0
2,2188.0
3,2264.0
4,2090.0
0,980.0
1,1417.0
2,2704.0
3,2424.0
4,2481.0
0,1518.0
1,2441.0
2,2588.0
3,2605.0
4,2450.0
0,993.0
1,1358.0
2,2446.0
3,2793.0
4,2838.0
0,1526.0
1,1954.0
2,2461.0
3,2229.0
4,2386.0
0,803.0
1,1672.0
2,2772.0
3,3027.0
4,2994.0
0,1143.0
1,1479.0
2,2678.0
3,2800.0
4,2781.0
0,1231.0
1,1913.0
2,2808.0
3,2957.0
4,3047.0
0,1638.0
1,1981.0
2,2575.0
3,2791.0
4,2858.0
0,1145.0
1,1344.0
2,1901.0
3,2183.0
4,2236.0
0,1933.0
1,1769.0
2,2802.0
3,2458.0
4,2583.0
0,955.0
1,1373.0
2,1806.0
3,2040.0
4,2127.0
0,1107.0
1,1800.0
2,2556.0
3,2627.0
4,2551.0
0,963.0
1,1133.0
2,2331.0
3,2541.0
4,2593.0
0,844.0
1,1449.0
2,2329.0
3,2491.0
4,2657.0
0,1574.0
1,1740.0
2,2300.0
3,2528.0
4,2550.0
0,1454.0
1,1630.0
2,2018.0
3,1947.0
4,2191.0
0,753.0
1,1262.0
2,2749.0
3,2950.0
4,2860.0
0,922.0
1,1555.0
2,2540.0
3,2518.0
4,2241.0
0,1061.0
