operator,conquest_epoch
Add,2026.0
Subtract,3088.0
Multiply,5901.0
Divide,2342.0
Modulo,4688.0
Add,2369.0
Subtract,2458.0
Multiply,6189.0
Divide,2464.0
Modulo,5936.0
Add,3223.0
Subtract,2560.0
Multiply,5859.0
Divide,2397.0
Modulo,4776.0
Add,2363.0
Subtract,2789.0
Multiply,5539.0
Divide,2502.0
Modulo,4411.0
Add,2515.0
Subtract,2425.0
Multiply,5583.0
Divide,2326.0
Modulo,5241.0
Add,1963.0
Subtract,3217.0
Multiply,5879.0
Divide,2482.0
Modulo,4575.0
Add,3056.0
Subtract,2687.0
Multiply,6511.0
Divide,2296.0
Modulo,4626.0
Add,2470.0
Subtract,2510.0
Multiply,6230.0
Divide,2447.0
Modulo,4999.0
Add,2269.0
Subtract,2462.0
Multiply,5876.0
Divide,2505.0
Modulo,4911.0
Add,2597.0
Subtract,2573.0
Multiply,6349.0
Divide,2318.0
Modulo,4540.0
Add,2661.0
Subtract,2350.0
Multiply,5765.0
Divide,2534.0
Modulo,5148.0
Add,2097.0
Subtract,2668.0
Multiply,6493.0
Divide,2569.0
Modulo,4590.0
Add,3118.0
Subtract,3339.0
Multiply,6009.0
Divide,2253.0
Modulo,5070.0
Add,2329.0
Subtract,3483.0
Multiply,5712.0
Divide,2441.0
Modulo,4777.0
Add,2381.0
Subtract,3360.0
Multiply,5878.0
Divide,2402.0
Modulo,5019.0
Add,2721.0
Subtract,2882.0
Multiply,6058.0
Divide,2262.0
Modulo,5284.0
Add,3076.0
Subtract,2718.0
Multiply,5949.0
Divide,2463.0
Modulo,5035.0
Add,2611.0
Subtract,3215.0
Multiply,5070.0
Divide,2573.0
Modulo,5206.0
Add,2522.0
Subtract,2588.0
Multiply,6089.0
Divide,2551.0
Modulo,4640.0
Add,2457.0
Subtract,2582.0
Multiply,5973.0
Divide,2540.0
Modulo,4856.0
Add,2491.0
Subtract,2639.0
Multiply,6266.0
Divide,2455.0
Modulo,4840.0
Add,2757.0
Subtract,2604.0
Multiply,5986.0
Divide,2399.0
Modulo,4959.0
Add,2223.0
Subtract,2903.0
Multiply,6245.0
Divide,2390.0
Modulo,4519.0
Add,2641.0
Subtract,3042.0
Multiply,6151.0
Divide,2420.0
Modulo,4431.0
Add,2300.0
Subtract,2982.0
Multiply,6619.0
Divide,2284.0
Modulo,4208.0
Add,2571.0
Subtract,3046.0
Multiply,5778.0
Divide,2547.0
Modulo,4807.0
Add,2098.0
Subtract,2478.0
Multiply,6113.0
Divide,2238.0
Modulo,4698.0
Add,3105.0
Subtract,2818.0
Multiply,6049.0
Divide,2310.0
Modulo,4761.0
Add,2643.0
Subtract,3344.0
Multiply,5517.0
Divide,2424.0
Modulo,4424.0
Add,2307.0
Subtract,3231.0
Multiply,6181.0
Divide,2521.0
Modulo,5081.0
Add,2619.0
Subtract,2508.0
Multiply,5753.0
Divide,2630.0
Modulo,5022.0
Add,2457.0
Subtract,2659.0
Multiply,5736.0
Divide,2344.0
Modulo,5179.0
Add,2423.0
Subtract,2542.0
Multiply,6195.0
Divide,2280.0
Modulo,4572.0
Add,2867.0
Subtract,3004.0
Multiply,5999.0
Divide,2526.0
Modulo,5338.0
Add,2440.0
Subtract,2508.0
Multiply,5319.0
Divide,2413.0
Modulo,5552.0
Add,2928.0
Subtract,2526.0
Multiply,6246.0
Divide,2372.0
Modulo,5268.0
Add,2499.0
Subtract,2772.0
Multiply,5609.0
Divide,2431.0
Modulo,4826.0
Add,2419.0
Subtract,2503.0
Multiply,5539.0
Divide,2534.0
Modulo,5230.0
Add,2506.0
Subtract,2560.0
Multiply,6799.0
Divide,2365.0
Modulo,5295.0
Add,2652.0
Subtract,2803.0
Multiply,5736.0
Divide,2411.0
Modulo,4987.0
Add,2168.0
Subtract,2669.0
Multiply,6328.0
Divide,2335.0
Modulo,4686.0
Add,2821.0
Subtract,2432.0
Multiply,6399.0
Divide,2321.0
Modulo,4504.0
Add,2608.0
Subtract,2656.0
