carries,conquest_epoch
0,2342.0
1,903.0
2,1985.0
3,1645.0
0,2464.0
1,1090.0
2,2136.0
3,1603.0
0,2397.0
1,878.0
2,2262.0
3,1737.0
0,2502.0
1,949.0
2,2106.0
3,1746.0
0,2326.0
1,942.0
2,1998.0
3,1725.0
0,2482.0
1,958.0
2,2229.0
3,1619.0
0,2296.0
1,1086.0
2,1925.0
3,1746.0
0,2447.0
1,974.0
2,1967.0
3,2.0
0,2505.0
1,1051.0
2,2037.0
3,1578.0
0,2318.0
1,1022.0
2,1823.0
3,1372.0
0,2534.0
1,1002.0
2,1969.0
3,1668.0
0,2569.0
1,1035.0
2,1999.0
3,1654.0
0,2253.0
1,1494.0
2,1775.0
3,1743.0
0,2441.0
1,977.0
2,2194.0
3,1652.0
0,2402.0
1,1022.0
2,2210.0
3,1666.0
0,2262.0
1,836.0
2,1864.0
3,1369.0
0,2463.0
1,1004.0
2,2153.0
3,1699.0
0,2573.0
1,982.0
2,2122.0
3,1757.0
0,2551.0
1,946.0
2,2022.0
3,1510.0
0,2540.0
1,910.0
2,1975.0
3,1705.0
0,2455.0
1,943.0
2,1954.0
3,1589.0
0,2399.0
1,866.0
2,1963.0
3,1.0
0,2390.0
1,956.0
2,2066.0
3,1616.0
0,2420.0
1,1064.0
2,1910.0
3,1602.0
0,2284.0
1,1114.0
2,2035.0
3,1619.0
0,2547.0
1,910.0
2,2278.0
3,1784.0
0,2238.0
1,1169.0
2,1760.0
3,1760.0
0,2310.0
1,959.0
2,1972.0
3,1550.0
0,2424.0
1,1050.0
2,2267.0
3,1781.0
0,2521.0
1,1179.0
2,2070.0
3,1646.0
0,2630.0
1,870.0
2,2101.0
3,1733.0
0,2344.0
1,871.0
2,1936.0
3,2.0
0,2280.0
1,907.0
2,1946.0
3,1666.0
0,2526.0
1,852.0
2,2258.0
3,1687.0
0,2413.0
1,906.0
2,2036.0
3,1648.0
0,2372.0
1,1332.0
2,1915.0
3,1863.0
0,2431.0
1,1040.0
2,2033.0
3,1698.0
0,2534.0
1,875.0
2,1971.0
3,1564.0
0,2365.0
1,969.0
2,1855.0
3,1560.0
0,2411.0
1,959.0
2,2222.0
3,1607.0
0,2335.0
1,1398.0
2,2027.0
3,1570.0
0,2321.0
1,996.0
2,1833.0
3,1638.0
0,2369.0
1,1053.0
2,2071.0
3,1791.0
0,2319.0
1,945.0
2,2086.0
3,1706.0
0,2440.0
1,887.0
2,2143.0
3,1647.0
0,2299.0
1,863.0
2,1986.0
3,1734.0
0,2256.0
1,985.0
2,1763.0
3,1585.0
0,2405.0
1,902.0
2,2010.0
3,1438.0
0,2519.0
1,1028.0
2,2002.0
3,1832.0
0,2291.0
1,893.0
2,1827.0
3,1733.0
0,2383.0
1,953.0
2,1904.0
3,1465.0
0,2312.0
1,1051.0
2,1849.0
3,1714.0
0,2477.0
1,934.0
2,2060.0
3,1680.0
0,2386.0
1,924.0
2,2001.0
3,1704.0
0,2379.0
1,925.0
2,2061.0
3,1811.0
0,2222.0
1,898.0
2,2082.0
3,1518.0
0,2351.0
1,994.0
2,1845.0
3,1562.0
0,2508.0
1,1010.0
2,2064.0
3,1609.0
0,2402.0
1,951.0
2,2251.0
3,1669.0
0,2636.0
1,969.0
2,2304.0
3,1782.0
0,2406.0
1,886.0
2,1919.0
3,1675.0
0,2366.0
1,899.0
2,1998.0
3,1625.0
0,2370.0
1,977.0
2,1977.0
3,1647.0
0,2215.0
1,956.0
2,1993.0
3,1707.0
0,2349.0
1,952.0
2,2001.0
3,1804.0
0,2276.0
1,949.0
2,2061.0
3,1764.0
0,2469.0
1,1697.0
2,2213.0
3,1813.0
0,2403.0
1,1000.0
2,2066.0
3,3.0
0,2360.0
1,997.0
2,1987.0
3,1700.0
0,2456.0
1,882.0
2,2215.0
3,1665.0
0,2379.0
1,1046.0
2,2190.0
3,1684.0
0,2228.0
1,950.0
2,1973.0
3,1633.0
0,2147.0
1,1080.0
2,1950.0
3,1451.0
0,2390.0
1,1406.0
2,2003.0
3,1722.0
0,2464.0
1,960.0
2,2279.0
3,1558.0
0,2303.0
1,910.0
2,1969.0
3,1866.0
0,2345.0
1,931.0
2,2283.0
3,1746.0
0,2431.0
1,946.0
2,2141.0
3,1614.0
0,2403.0
1,933.0
2,1949.0
3,1722.0
0,2400.0
1,1061.0
2,2089.0
3,2.0
0,2354.0
1,982.0
2,1772.0
3,1531.0
0,2423.0
1,1447.0
2,2006.0
3,3.0
0,2245.0
1,1272.0
2,2064.0
3,1590.0
0,2263.0
1,850.0
2,1769.0
3,1471.0
0,2230.0
1,922.0
2,1605.0
3,1663.0
0,2410.0
1,912.0
2,1896.0
3,1632.0
0,2399.0
1,1002.0
2,2204.0
3,1569.0
0,2397.0
1,1457.0
2,2016.0
3,1909.0
0,2331.0
1,947.0
2,2091.0
3,1490.0
0,2226.0
1,1088.0
2,1981.0
3,1468.0
0,2430.0
1,942.0
2,2159.0
3,1597.0
0,2372.0
1,1087.0
2,1972.0
3,1694.0
0,2298.0
1,1022.0
2,1954.0
3,1547.0
0,2293.0
1,892.0
2,1880.0
3,1542.0
0,2561.0
1,939.0
2,1960.0
3,1864.0
0,2406.0
1,1088.0
2,1901.0
3,1653.0
0,2427.0
1,977.0
2,1965.0
3,1740.0
0,2432.0
1,888.0
2,1864.0
3,1669.0
0,2641.0
1,1112.0
2,2030.0
3,1586.0
0,2399.0
1,933.0
2,2056.0
3,1.0
0,2620.0
1,1049.0
2,1945.0
3,1797.0
0,2569.0
1,905.0
2,2394.0
3,1734.0
0,2361.0
1,1014.0
2,2115.0
3,1671.0
0,2325.0
1,894.0
2,1942.0
3,1488.0
0,2493.0
1,929.0
2,1958.0
3,1640.0
0,2267.0
1,1063.0
2,1926.0
3,1654.0
0,2412.0
1,1017.0
2,1923.0
