carries,conquest_epoch
0,4542.0
1,5083.0
2,5050.0
3,5032.0
4,5901.0
5,4417.0
6,5017.0
8,3168.0
12,3700.0
0,4555.0
1,5776.0
2,4791.0
3,5403.0
4,6189.0
5,4965.0
6,3843.0
8,3626.0
12,1071.0
0,4441.0
1,4273.0
2,4655.0
3,4555.0
4,5859.0
5,4776.0
6,4427.0
8,4937.0
12,3708.0
0,3898.0
1,5472.0
2,4598.0
3,5049.0
4,5539.0
5,5030.0
6,3537.0
8,4023.0
12,4564.0
0,3453.0
1,5327.0
2,5410.0
3,4839.0
4,5583.0
5,4340.0
6,4150.0
8,3892.0
12,4476.0
0,4582.0
1,4752.0
2,5259.0
3,4606.0
4,5879.0
5,5348.0
6,4472.0
8,3395.0
12,3420.0
0,5083.0
1,6112.0
2,5905.0
3,5412.0
4,6511.0
5,5334.0
6,4858.0
8,2980.0
12,4828.0
0,4261.0
1,4784.0
2,4494.0
3,4475.0
4,6230.0
5,4965.0
6,3913.0
8,2983.0
12,3858.0
0,4604.0
1,4770.0
2,5642.0
3,5121.0
4,5876.0
5,4773.0
6,4576.0
8,3198.0
12,4010.0
0,4070.0
1,5036.0
2,4217.0
3,5580.0
4,6349.0
5,4603.0
6,4135.0
8,4763.0
12,4087.0
0,5084.0
1,4719.0
2,5409.0
3,4649.0
4,5765.0
5,5663.0
6,4760.0
8,3113.0
12,3699.0
0,4428.0
1,5169.0
2,6027.0
3,5774.0
4,6493.0
5,5456.0
6,4769.0
8,4383.0
12,3361.0
0,4468.0
1,4914.0
2,4781.0
3,4423.0
4,6009.0
5,5397.0
6,3732.0
8,3158.0
12,3932.0
0,3699.0
1,5445.0
2,5712.0
3,4288.0
4,5577.0
5,5091.0
6,4601.0
8,4058.0
12,5135.0
0,4145.0
1,5130.0
2,4948.0
3,5035.0
4,5662.0
5,5878.0
6,4484.0
8,3314.0
12,4357.0
0,4436.0
1,4645.0
2,5031.0
3,5291.0
4,6058.0
5,5231.0
6,4929.0
8,4217.0
12,4487.0
0,4630.0
1,5268.0
2,5031.0
3,4984.0
4,5928.0
5,5949.0
6,4465.0
8,3581.0
12,3281.0
0,4473.0
1,5070.0
2,4236.0
3,4823.0
4,4919.0
5,4384.0
6,4816.0
8,2938.0
12,4588.0
0,4039.0
1,5066.0
2,4792.0
3,4775.0
4,6089.0
5,4961.0
6,4063.0
8,3044.0
12,3946.0
0,4605.0
1,5075.0
2,5137.0
3,4297.0
4,5666.0
5,4795.0
6,3808.0
8,3668.0
12,4012.0
0,3723.0
1,5052.0
2,4460.0
3,4836.0
4,6266.0
5,4991.0
6,4128.0
8,2764.0
12,4423.0
0,4122.0
1,4648.0
2,5980.0
3,4504.0
4,5593.0
5,5963.0
6,4670.0
8,2767.0
12,4797.0
0,5105.0
1,5176.0
2,5902.0
3,4963.0
4,6245.0
5,4654.0
6,5074.0
8,3105.0
12,3867.0
0,5226.0
1,4800.0
2,5003.0
3,5029.0
4,6151.0
5,4921.0
6,4213.0
8,3169.0
12,4105.0
0,3630.0
1,5411.0
2,4405.0
3,4683.0
4,6619.0
5,4863.0
6,4800.0
8,3035.0
12,3122.0
0,4438.0
1,5071.0
2,4714.0
3,4984.0
4,5778.0
5,4926.0
6,4950.0
8,3349.0
12,3285.0
0,4258.0
1,4942.0
2,5041.0
3,5518.0
4,6113.0
5,5149.0
6,4437.0
8,2677.0
12,4359.0
0,5033.0
1,5632.0
2,5338.0
3,5179.0
4,5982.0
5,6049.0
6,4565.0
8,4203.0
12,5100.0
0,4145.0
1,4623.0
