carries,conquest_epoch
0,2075.0
1,2237.0
2,3088.0
3,3075.0
0,2115.0
1,2038.0
2,2458.0
3,2292.0
0,2246.0
1,1940.0
2,2560.0
3,2495.0
0,2054.0
1,2323.0
2,2745.0
3,2789.0
0,1891.0
1,2267.0
2,2423.0
3,2406.0
0,2202.0
1,2139.0
2,3217.0
3,3125.0
0,2557.0
1,2442.0
2,2687.0
3,2684.0
0,2044.0
1,2465.0
2,2508.0
3,2510.0
0,1900.0
1,2177.0
2,2462.0
3,2331.0
0,2509.0
1,2414.0
2,2415.0
3,2460.0
0,1733.0
1,2119.0
2,2350.0
3,2319.0
0,2496.0
1,2191.0
2,2668.0
3,2601.0
0,2280.0
1,2138.0
2,3339.0
3,3286.0
0,2500.0
1,2231.0
2,3483.0
3,3353.0
0,2181.0
1,2237.0
2,3360.0
3,3275.0
0,2047.0
1,2391.0
2,2825.0
3,2882.0
0,2531.0
1,2172.0
2,2718.0
3,2715.0
0,1819.0
1,2503.0
2,3215.0
3,3199.0
0,1845.0
1,2191.0
2,2588.0
3,2451.0
0,2459.0
1,2185.0
2,2581.0
3,2582.0
0,2408.0
1,2639.0
2,2465.0
3,2365.0
0,1992.0
1,1789.0
2,2604.0
3,2403.0
0,2784.0
1,2863.0
2,2903.0
3,2741.0
0,1679.0
1,2278.0
2,2977.0
3,3042.0
0,1832.0
1,1882.0
2,2979.0
3,2976.0
0,1681.0
1,2071.0
2,3023.0
3,3038.0
0,2381.0
1,2376.0
2,2466.0
3,2339.0
0,2435.0
1,1980.0
2,2687.0
3,2818.0
0,2192.0
1,2403.0
2,3344.0
3,3268.0
0,2228.0
1,2331.0
2,3156.0
3,3231.0
0,2406.0
1,2414.0
2,2475.0
3,2508.0
0,1922.0
1,2216.0
2,2481.0
3,2659.0
0,2481.0
1,2023.0
2,2529.0
3,2502.0
0,2557.0
1,2361.0
2,3004.0
3,2990.0
0,2245.0
1,2508.0
2,2415.0
3,2353.0
0,2260.0
1,2511.0
2,2524.0
3,2513.0
0,2412.0
1,1912.0
2,2772.0
3,2665.0
0,2431.0
1,2118.0
2,2503.0
3,2400.0
0,2472.0
1,2377.0
2,2290.0
3,2464.0
0,2014.0
1,1870.0
2,2803.0
3,2538.0
0,2119.0
1,2323.0
2,2544.0
3,2669.0
0,1666.0
1,2147.0
2,2413.0
3,2432.0
0,1836.0
1,2387.0
2,2548.0
3,2656.0
0,2592.0
1,2097.0
2,2585.0
3,2669.0
0,1853.0
1,2395.0
2,2861.0
3,2846.0
0,2181.0
1,2123.0
2,2973.0
3,2903.0
0,1749.0
1,1963.0
2,3014.0
3,2844.0
0,2697.0
1,2642.0
2,2888.0
3,2775.0
0,2167.0
1,2175.0
2,2175.0
3,2249.0
0,2144.0
1,2251.0
2,3146.0
3,3077.0
0,2961.0
1,3034.0
2,2928.0
3,2789.0
0,1837.0
1,2114.0
2,3397.0
3,3286.0
0,2429.0
1,2212.0
2,2562.0
3,2562.0
0,1861.0
1,2344.0
2,2209.0
3,2143.0
0,1916.0
1,2249.0
2,2381.0
3,2531.0
0,2208.0
1,2315.0
2,2778.0
3,2710.0
0,2527.0
1,2848.0
2,3051.0
3,3074.0
0,1951.0
1,2062.0
2,3368.0
3,3225.0
0,2257.0
1,2385.0
2,2620.0
3,2619.0
0,2096.0
1,2397.0
2,3075.0
3,2743.0
0,1984.0
1,1957.0
2,2410.0
3,2192.0
0,2469.0
1,2126.0
2,2738.0
3,2667.0
0,2393.0
1,2667.0
2,2593.0
3,2509.0
0,2272.0
1,2207.0
2,3315.0
3,3162.0
0,2095.0
1,2060.0
2,2970.0
3,2895.0
0,1890.0
1,2227.0
2,2760.0
3,2714.0
0,2385.0
1,2426.0
2,2779.0
3,2816.0
0,2474.0
1,2402.0
2,2495.0
3,2546.0
0,2095.0
1,2729.0
2,3020.0
